App Name,Category,Rating,Free,Price,Installs,Size,Content Rating,Ad Supported,In App Purchases
Owingly - Manage your borrowings and lendings,Finance,0.0,True,0.0,100+,22M,Everyone,True,True
Домопульт. Управление ЖКХ,Lifestyle,3.9,True,0.0,"10,000+",41M,Everyone,False,False
Stack Cube,Arcade,5.0,True,0.0,10+,22M,Everyone,True,True
Bear Evolution - UnBEARably Fun Clicker Game,Casual,4.4,True,0.0,"100,000+",36M,Everyone,True,True
Be Mine for XPERIA™,Personalization,4.9,False,1.49,500+,7.4M,Everyone,False,False
Whist by NeuralPlay,Card,4.3,True,0.0,"10,000+",9.9M,Everyone,True,True
MyEventPlan,Business,3.9,True,0.0,"10,000+",13M,Everyone,True,False
ElSafwa School,Education,0.0,True,0.0,5+,8.2M,Everyone,False,False
Dumpling Bar,Food & Drink,0.0,True,0.0,500+,33M,Everyone,False,False
Kim & Luis,Education,4.4,True,0.0,"5,000+",112M,Everyone,False,False
Flex Radio,Music & Audio,4.9,True,0.0,"1,000+",8.3M,Everyone,True,False
Scoutly & TurboLister Combo App,Business,4.0,True,0.0,"100,000+",51M,Everyone,False,False
SMS Pardon & Désolé,Entertainment,4.5,True,0.0,"100,000+",2.8M,Everyone,True,False
Archery Bow & Arrow,Casual,4.2,True,0.0,"1,000+",19M,Everyone,False,False
Mark NOM,Business,0.0,True,0.0,5+,3.2M,Everyone,False,False
Digital Camouflage Keyboard Theme,Personalization,4.3,True,0.0,"1,000+",3.4M,Everyone,True,False
All Greek News,News & Magazines,4.7,True,0.0,"1,000+",48M,Everyone,True,False
Emboss Photo Editor,Entertainment,3.3,True,0.0,"5,000+",17M,Everyone,True,False
Tasbeeh Counter Pro 2020 | Dhikr Counter,Entertainment,0.0,True,0.0,100+,2.4M,Everyone,False,False
Vietnamese Korean Translator,Books & Reference,3.9,True,0.0,"100,000+",Varies with device,Everyone,True,False
.Cara Cek Tagihan BPJS Kesehatan Terbaru,Books & Reference,3.0,True,0.0,"5,000+",4.6M,Everyone,True,False
meters to inch,Tools,0.0,True,0.0,10+,1.8M,Everyone,True,False
Pinoy Love Advice,Entertainment,4.5,True,0.0,"100,000+",49M,Everyone,True,False
SL English Paradise,Education,5.0,True,0.0,100+,5.1M,Everyone,False,False
Sénéguide -Sénégal Guide Touristique Voyage Séjour,Travel & Local,4.7,True,0.0,"1,000+",4.1M,Everyone,True,False
Diabetic Recipes : Healthy Food,Health & Fitness,4.2,True,0.0,"100,000+",Varies with device,Everyone,True,True
Юз бир дуо,Books & Reference,4.5,True,0.0,"10,000+",4.4M,Everyone,True,False
VR Haunted Forest Escape - Horror game,Action,3.1,True,0.0,"1,000+",39M,Teen,True,False
Argentine Peso x Chilean Peso,Finance,0.0,True,0.0,"1,000+",2.9M,Everyone,True,False
🥇 96.5 The Buzz Kansas City Radio App Kansas US,Music & Audio,0.0,True,0.0,100+,4.9M,Teen,True,False
Hallelife.de - Mein Halle (Saale),News & Magazines,3.5,True,0.0,"1,000+",1.6M,Everyone,True,False
Salary Dost - Personal Loan & Unsecured loan App,Finance,3.8,True,0.0,"1,000,000+",16M,Everyone,False,False
Canto do Rouxinol Do Japão,Entertainment,0.0,True,0.0,100+,4.7M,Everyone,True,False
Texture Wallpaper HD,Personalization,4.4,True,0.0,"10,000+",21M,Everyone,True,False
Simple Roulette - Random Picker,Productivity,4.1,True,0.0,"10,000+",23M,Everyone,True,False
Wooden Toys,Art & Design,0.0,True,0.0,"1,000+",2.2M,Everyone,True,False
Jean Paul Mynè Scanner,Lifestyle,0.0,True,0.0,50+,48M,Everyone,False,False
Talk World Chat,Communication,2.8,True,0.0,"1,000+",8.9M,Everyone,False,False
Sicilian Pizza & Pasta Mobile,Food & Drink,3.6,True,0.0,"1,000+",159k,Everyone,False,False
Bad Guys at School 2 : Walkthrough,Libraries & Demo,3.5,True,0.0,"10,000+",8.7M,Everyone,True,False
BigBang Wallpaper - KPOP,Personalization,4.2,True,0.0,"5,000+",9.2M,Everyone,True,False
Home Remedies for Acidity,Health & Fitness,0.0,True,0.0,500+,3.4M,Everyone,True,False
In Vivo Journal,Medical,0.0,True,0.0,50+,3.2M,Everyone,False,False
MINT Barbers,Lifestyle,0.0,True,0.0,100+,11M,Everyone,False,False
Cars Puzzle Game,Trivia,0.0,True,0.0,10+,5.6M,Everyone,True,False
Reckart Logistics,Productivity,0.0,True,0.0,1+,43M,Everyone,False,False
JOQ Albania,News & Magazines,4.1,True,0.0,"5,000+",24M,Everyone,False,False
Control:Diabetes,Medical,0.0,True,0.0,100+,7.3M,Everyone,False,False
Real Tabla,Music & Audio,3.7,True,0.0,"100,000+",14M,Everyone,True,False
Mobilny Catering,Food & Drink,4.8,True,0.0,"5,000+",28M,Everyone,False,False
Pharmacology,Education,4.4,True,0.0,"1,000+",11M,Everyone,True,False
TOP ACHIEVER (Online Classes),Education,5.0,True,0.0,100+,38M,Everyone,False,False
Baby Fortune Teller,Entertainment,4.7,True,0.0,100+,41M,Everyone,True,False
Battleground Advisor,Strategy,4.2,True,0.0,"1,000+",5.6M,Everyone,False,False
Таня Гроттер и золотая пиявка,Music & Audio,0.0,False,1.49,5+,648k,Everyone,False,False
IBEW 2085 Safety 360,Educational,0.0,True,0.0,10+,25M,Everyone,False,False
Vuforia View,Productivity,3.6,True,0.0,"100,000+",167M,Everyone,False,False
Scoop USA,News & Magazines,0.0,True,0.0,100+,28M,Everyone 10+,True,False
Insight Govt Exam,Business,0.0,True,0.0,100+,3.4M,Everyone,False,False
Real Moto Traffic,Racing,4.1,True,0.0,"50,000+",46M,Everyone,True,True
Pocket Ace - TOEIC Tutor,Education,5.0,True,0.0,100+,133M,Everyone,False,True
FlightViewer for DJI drones,Tools,0.0,True,0.0,100+,58M,Everyone,False,False
Bendigo Advertiser eEdition,News & Magazines,2.7,True,0.0,"1,000+",12M,Everyone,False,False
Hindi Kavitaye,Books & Reference,4.3,True,0.0,"10,000+",10.0M,Everyone,True,False
Party Planner,Productivity,3.3,True,0.0,"1,000+",4.0M,Everyone,True,False
Ninjutsu Lessons,Sports,3.8,True,0.0,"5,000+",3.7M,Everyone,True,False
Handbook of Natural Medicine,Medical,4.1,True,0.0,"100,000+",6.4M,Everyone,True,True
Tanks and rock,Action,3.7,True,0.0,"5,000+",44M,Everyone,True,False
Pizza La Spaghettata München,Food & Drink,0.0,True,0.0,50+,4.9M,Everyone,False,False
ZigZag ToYo,Casual,5.0,True,0.0,500+,34M,Everyone,True,False
Stupid ToDo,Tools,0.0,True,0.0,1+,51M,Everyone,False,False
"24Baby.nl – Zwanger, baby, babynamen en forum",Parenting,4.6,True,0.0,"100,000+",9.9M,Teen,True,False
Mobile Network Data Usage,Tools,3.9,True,0.0,"5,000+",3.2M,Everyone,True,False
DivyanshGrroup,Business,0.0,True,0.0,1+,1.1M,Teen,False,False
HARDfit,Health & Fitness,0.0,True,0.0,100+,22M,Everyone,False,False
First Words 18 Months Plus (Baby Flashcards),Education,4.0,True,0.0,"100,000+",43M,Everyone,True,True
Facturas Ya!,Business,3.9,True,0.0,"5,000+",2.0M,Everyone,False,False
Rain Sounds,Music & Audio,4.8,True,0.0,100+,24M,Everyone,True,False
Ngaji Gus Baha Terbaru 2020 (Indonesia),Education,5.0,True,0.0,100+,57M,Everyone 10+,True,False
My Groupama,Entertainment,2.6,True,0.0,"50,000+",41M,Everyone,False,False
Harvard College Guides,Travel & Local,0.0,True,0.0,"1,000+",19M,Everyone,False,False
DOLXE,Shopping,0.0,True,0.0,10+,1.8M,Everyone,False,False
Came Pagos,Finance,3.6,True,0.0,"1,000+",50M,Everyone,False,False
Pepperoni Delivery | Казахстан,Food & Drink,0.0,True,0.0,50+,8.7M,Everyone,False,False
GK IN HINDI 2019,Education,4.8,True,0.0,"5,000+",6.1M,Everyone,True,False
Papa's Pizza Hoyland,Lifestyle,0.0,True,0.0,"1,000+",26M,Everyone,False,False
AR SMAN 2 Ponorogo 2019,Books & Reference,0.0,True,0.0,100+,77M,Everyone,False,False
COLÉGIO CEIC MOBILE,Education,0.0,True,0.0,50+,58M,Everyone,False,False
600 Top Tamil Hindu Bhakti Devotional,Entertainment,4.1,True,0.0,"10,000+",6.5M,Everyone,True,False
Resetas de Pasteles,Entertainment,0.0,True,0.0,50+,8.8M,Everyone,True,False
Sound/Noise Meter,Tools,0.0,True,0.0,50+,2.7M,Everyone,True,False
Hify,Social,4.1,True,0.0,500+,11M,Everyone,False,False
Utah Plumbers,House & Home,0.0,True,0.0,0+,1.9M,Everyone,False,False
Syntri,Business,0.0,True,0.0,100+,31M,Everyone,False,False
UCI Executive Recruitment,Travel & Local,0.0,True,0.0,10+,40M,Everyone,False,False
English Text Reader (Text to MP3 converter),Tools,0.0,True,0.0,100+,8.6M,Everyone,True,False
Bubble Jumble,Action,5.0,True,0.0,100+,6.3M,Everyone,True,False
हिंदी ग़ज़लें (Best Hindi Ghazals),Books & Reference,4.5,True,0.0,"50,000+",3.9M,Everyone,True,False
German-Hungarian Translator,Education,0.0,True,0.0,10+,6.7M,Everyone,True,False
Canto De Papa-Capim viviti 2019,Music & Audio,4.2,True,0.0,"10,000+",58M,Everyone,True,False
Revive Day Spa Team App,Libraries & Demo,0.0,True,0.0,10+,11M,Everyone,False,False
Миллий таомлар - Ozbek taomlari,Food & Drink,3.9,True,0.0,"100,000+",16M,Everyone,True,False
The Hope Chest boutique,Shopping,0.0,True,0.0,100+,30M,Everyone,False,False
EcoGuide: Freshwater Invertebrates of Russia,Books & Reference,4.0,True,0.0,100+,87M,Everyone,False,True
BPO Hochbau,Productivity,0.0,True,0.0,10+,7.7M,Everyone,False,False
Kompally Municipality,Travel & Local,2.6,True,0.0,500+,4.7M,Everyone,False,False
Lakshmi Mata Live Wallpaper,Personalization,3.6,True,0.0,"1,000+",4.0M,Everyone,True,False
Add-On: Datalogic,Productivity,0.0,True,0.0,10+,2.1M,Everyone,False,False
HalloWheel,Casual,3.7,True,0.0,"10,000+",14M,Teen,True,True
NH투자증권 QV(큐브)-계좌개설 겸용,Finance,4.0,True,0.0,"1,000,000+",75M,Everyone,False,False
funscreen Remote Controller,Tools,0.0,True,0.0,10+,1.4M,Everyone,False,False
WordGame,Puzzle,4.3,True,0.0,"1,000+",Varies with device,Everyone,True,False
Timbatá,Lifestyle,0.0,True,0.0,1+,28M,Everyone,False,False
Guess The Number,Puzzle,5.0,True,0.0,50+,9.0M,Everyone,True,False
Swipe Many Calculators - Use multiple calc plus.,Tools,3.6,True,0.0,"1,000+",3.5M,Everyone,False,False
Right Pizza,Food & Drink,0.0,True,0.0,10+,14M,Everyone,False,False
eGurukul - Learning App By DBMCI,Medical,3.9,True,0.0,"100,000+",23M,Everyone,False,False
Virtual Boy: Family Simulator 2018,Role Playing,2.9,True,0.0,"500,000+",63M,Everyone,True,False
股票雷达,Finance,4.2,True,0.0,"10,000+",28M,Everyone,False,False
Nayanthara Puzzle App,Puzzle,0.0,True,0.0,100+,6.3M,Everyone,True,False
Galaxy Panda Unicorn Keyboard Theme,Personalization,4.7,True,0.0,"10,000+",3.6M,Everyone,True,False
DHL Scanner: QR Code Scanner DHL,Tools,3.8,True,0.0,"5,000+",2.6M,Everyone,True,False
Home KKBPK,Tools,3.7,True,0.0,500+,2.8M,Everyone,True,False
GPS Route Finder- Voice Navigation street view map,Maps & Navigation,5.0,True,0.0,500+,3.1M,Everyone,True,False
